,id,date,machine_name,region_id,sex,sdi,baseline_days,status,time
0,2016-04-04_17-39-22_033aee|01,2016-04-04,ETHOSCOPE_033,1,F,10,4,OK,17-39-22
1,2016-04-04_17-39-22_033aee|04,2016-04-04,ETHOSCOPE_033,4,M,0,4,OK,17-39-22
2,2016-04-04_17-39-05_009aee|01,2016-04-04,ETHOSCOPE_009,1,F,10,4,OK,17-39-05
3,2016-04-04_17-39-05_009aee|04,2016-04-04,ETHOSCOPE_009,4,F,0,4,OK,17-39-05
4,2016-04-04_17-39-05_009aee|07,2016-04-04,ETHOSCOPE_009,7,F,10,4,OK,17-39-05
5,2016-04-04_17-39-05_009aee|09,2016-04-04,ETHOSCOPE_009,9,M,10,4,OK,17-39-05
6,2016-04-04_17-39-05_009aee|18,2016-04-04,ETHOSCOPE_009,18,F,10,4,OK,17-39-05
7,2016-04-04_17-39-52_035aee|01,2016-04-04,ETHOSCOPE_035,1,M,10,4,OK,17-39-52
8,2016-04-04_17-39-52_035aee|06,2016-04-04,ETHOSCOPE_035,6,M,0,4,OK,17-39-52
9,2016-04-04_17-39-52_035aee|08,2016-04-04,ETHOSCOPE_035,8,M,0,4,OK,17-39-52
10,2016-04-04_17-39-52_035aee|09,2016-04-04,ETHOSCOPE_035,9,M,10,4,OK,17-39-52
11,2016-04-04_17-39-52_035aee|14,2016-04-04,ETHOSCOPE_035,14,M,10,4,OK,17-39-52
12,2016-04-04_17-39-52_035aee|17,2016-04-04,ETHOSCOPE_035,17,F,0,4,OK,17-39-52
13,2016-04-04_17-38-27_007aee|06,2016-04-04,ETHOSCOPE_007,6,M,0,4,OK,17-38-27
14,2016-04-04_17-38-27_007aee|07,2016-04-04,ETHOSCOPE_007,7,F,10,4,OK,17-38-27
15,2016-04-04_17-38-27_007aee|09,2016-04-04,ETHOSCOPE_007,9,M,10,4,OK,17-38-27
16,2016-04-04_17-38-27_007aee|14,2016-04-04,ETHOSCOPE_007,14,M,10,4,OK,17-38-27
17,2016-04-04_17-38-27_007aee|18,2016-04-04,ETHOSCOPE_007,18,M,10,4,OK,17-38-27
18,2016-04-04_17-38-27_007aee|20,2016-04-04,ETHOSCOPE_007,20,F,10,4,OK,17-38-27
19,2016-04-04_17-38-06_019aee|07,2016-04-04,ETHOSCOPE_019,7,F,10,4,OK,17-38-06
20,2016-04-04_17-38-06_019aee|12,2016-04-04,ETHOSCOPE_019,12,M,10,4,OK,17-38-06
21,2016-04-04_17-38-06_019aee|17,2016-04-04,ETHOSCOPE_019,17,M,0,4,OK,17-38-06
22,2016-04-04_17-38-06_019aee|20,2016-04-04,ETHOSCOPE_019,20,F,10,4,OK,17-38-06
23,2016-04-11_15-07-58_033aee|01,2016-04-11,ETHOSCOPE_033,1,M,10,4,OK,15-07-58
24,2016-04-11_15-07-58_033aee|07,2016-04-11,ETHOSCOPE_033,7,M,10,4,OK,15-07-58
25,2016-04-11_15-07-58_033aee|10,2016-04-11,ETHOSCOPE_033,10,F,0,4,OK,15-07-58
26,2016-04-11_15-07-58_033aee|15,2016-04-11,ETHOSCOPE_033,15,M,0,4,OK,15-07-58
27,2016-04-11_15-07-58_033aee|19,2016-04-11,ETHOSCOPE_033,19,F,0,4,OK,15-07-58
28,2016-04-11_15-03-40_009aee|04,2016-04-11,ETHOSCOPE_009,4,F,0,4,OK,15-03-40
29,2016-04-11_15-03-40_009aee|14,2016-04-11,ETHOSCOPE_009,14,M,10,4,OK,15-03-40
30,2016-04-11_15-03-40_009aee|16,2016-04-11,ETHOSCOPE_009,16,M,10,4,OK,15-03-40
31,2016-04-11_15-03-40_009aee|17,2016-04-11,ETHOSCOPE_009,17,F,0,4,OK,15-03-40
32,2016-04-11_15-03-40_009aee|19,2016-04-11,ETHOSCOPE_009,19,M,0,4,OK,15-03-40
33,2016-04-11_15-03-20_035aee|03,2016-04-11,ETHOSCOPE_035,3,M,10,4,OK,15-03-20
34,2016-04-11_15-03-20_035aee|04,2016-04-11,ETHOSCOPE_035,4,M,0,4,OK,15-03-20
35,2016-04-11_15-03-20_035aee|06,2016-04-11,ETHOSCOPE_035,6,M,0,4,OK,15-03-20
36,2016-04-11_15-03-20_035aee|07,2016-04-11,ETHOSCOPE_035,7,M,10,4,OK,15-03-20
37,2016-04-11_15-03-20_035aee|09,2016-04-11,ETHOSCOPE_035,9,M,10,4,OK,15-03-20
38,2016-04-11_15-03-20_035aee|13,2016-04-11,ETHOSCOPE_035,13,M,0,4,OK,15-03-20
39,2016-04-11_15-03-20_035aee|14,2016-04-11,ETHOSCOPE_035,14,M,10,4,OK,15-03-20
40,2016-04-11_15-03-20_035aee|15,2016-04-11,ETHOSCOPE_035,15,M,0,4,OK,15-03-20
41,2016-04-11_15-03-20_035aee|17,2016-04-11,ETHOSCOPE_035,17,M,0,4,OK,15-03-20
42,2016-04-11_15-03-20_035aee|19,2016-04-11,ETHOSCOPE_035,19,M,0,4,OK,15-03-20
43,2016-04-11_15-08-29_007aee|03,2016-04-11,ETHOSCOPE_007,3,M,10,4,OK,15-08-29
44,2016-04-11_15-08-29_007aee|04,2016-04-11,ETHOSCOPE_007,4,M,0,4,OK,15-08-29
45,2016-04-11_15-08-29_007aee|06,2016-04-11,ETHOSCOPE_007,6,M,0,4,OK,15-08-29
46,2016-04-11_15-08-29_007aee|07,2016-04-11,ETHOSCOPE_007,7,M,10,4,OK,15-08-29
47,2016-04-11_15-08-29_007aee|10,2016-04-11,ETHOSCOPE_007,10,M,0,4,OK,15-08-29
48,2016-04-11_15-08-29_007aee|13,2016-04-11,ETHOSCOPE_007,13,F,0,4,OK,15-08-29
49,2016-04-11_15-08-29_007aee|16,2016-04-11,ETHOSCOPE_007,16,M,10,4,OK,15-08-29
50,2016-04-11_15-08-29_007aee|17,2016-04-11,ETHOSCOPE_007,17,M,0,4,OK,15-08-29
51,2016-04-11_15-08-29_007aee|18,2016-04-11,ETHOSCOPE_007,18,M,10,4,OK,15-08-29
52,2016-04-11_15-08-29_007aee|20,2016-04-11,ETHOSCOPE_007,20,M,10,4,OK,15-08-29
53,2016-04-11_15-08-44_019aee|02,2016-04-11,ETHOSCOPE_019,2,F,0,4,OK,15-08-44
54,2016-04-11_15-08-44_019aee|05,2016-04-11,ETHOSCOPE_019,5,F,10,4,OK,15-08-44
55,2016-04-11_15-08-44_019aee|06,2016-04-11,ETHOSCOPE_019,6,M,0,4,OK,15-08-44
56,2016-04-11_15-08-44_019aee|09,2016-04-11,ETHOSCOPE_019,9,M,10,4,OK,15-08-44
57,2016-04-11_15-08-44_019aee|10,2016-04-11,ETHOSCOPE_019,10,M,0,4,OK,15-08-44
58,2016-04-11_15-08-44_019aee|14,2016-04-11,ETHOSCOPE_019,14,M,10,4,OK,15-08-44
59,2016-04-11_15-08-44_019aee|15,2016-04-11,ETHOSCOPE_019,15,M,0,4,OK,15-08-44
60,2016-04-11_15-08-44_019aee|16,2016-04-11,ETHOSCOPE_019,16,M,10,4,OK,15-08-44
61,2016-04-11_15-09-10_036aee|01,2016-04-11,ETHOSCOPE_036,1,M,10,4,OK,15-09-10
62,2016-04-11_15-09-10_036aee|02,2016-04-11,ETHOSCOPE_036,2,M,0,4,OK,15-09-10
63,2016-04-11_15-09-10_036aee|05,2016-04-11,ETHOSCOPE_036,5,M,10,4,OK,15-09-10
64,2016-04-11_15-09-10_036aee|06,2016-04-11,ETHOSCOPE_036,6,F,0,4,OK,15-09-10
65,2016-04-11_15-09-10_036aee|08,2016-04-11,ETHOSCOPE_036,8,M,0,4,OK,15-09-10
66,2016-04-11_15-09-10_036aee|09,2016-04-11,ETHOSCOPE_036,9,F,10,4,OK,15-09-10
67,2016-04-11_15-09-10_036aee|11,2016-04-11,ETHOSCOPE_036,11,F,0,4,OK,15-09-10
68,2016-04-11_15-09-10_036aee|12,2016-04-11,ETHOSCOPE_036,12,M,10,4,OK,15-09-10
69,2016-04-11_15-09-10_036aee|14,2016-04-11,ETHOSCOPE_036,14,M,10,4,OK,15-09-10
70,2016-04-11_15-09-10_036aee|16,2016-04-11,ETHOSCOPE_036,16,M,10,4,OK,15-09-10
71,2016-04-11_15-09-10_036aee|19,2016-04-11,ETHOSCOPE_036,19,F,0,4,OK,15-09-10
72,2016-04-18_14-21-29_004aee|01,2016-04-18,ETHOSCOPE_004,1,F,10,4,OK,14-21-29
73,2016-04-18_14-21-29_004aee|04,2016-04-18,ETHOSCOPE_004,4,M,0,4,OK,14-21-29
74,2016-04-18_14-22-01_007aee|02,2016-04-18,ETHOSCOPE_007,2,F,0,4,OK,14-22-01
75,2016-04-18_14-46-25_018aee|04,2016-04-18,ETHOSCOPE_018,4,M,0,4,OK,14-46-25
76,2016-04-18_14-36-01_036aee|02,2016-04-18,ETHOSCOPE_036,2,M,0,4,OK,14-36-01
77,2016-04-18_14-34-49_026aee|02,2016-04-18,ETHOSCOPE_026,2,M,0,4,OK,14-34-49
78,2016-04-25_15-14-23_007aee|04,2016-04-25,ETHOSCOPE_007,4,M,0,4,OK,15-14-23
79,2016-04-25_15-06-21_002aee|04,2016-04-25,ETHOSCOPE_002,4,M,0,4,OK,15-06-21
80,2016-04-25_15-10-08_009aee|02,2016-04-25,ETHOSCOPE_009,2,M,0,4,OK,15-10-08
81,2016-04-25_15-12-01_026aee|02,2016-04-25,ETHOSCOPE_026,2,M,0,4,OK,15-12-01
82,2016-04-25_14-02-18_003aee|11,2016-04-25,ETHOSCOPE_003,11,M,0,4,OK,14-02-18
83,2016-04-25_14-02-18_003aee|16,2016-04-25,ETHOSCOPE_003,16,M,0,4,OK,14-02-18
84,2016-04-25_14-02-18_003aee|20,2016-04-25,ETHOSCOPE_003,20,M,0,4,OK,14-02-18
85,2016-05-02_15-26-12_004aee|04,2016-05-02,ETHOSCOPE_004,4,F,0,4,OK,15-26-12
86,2016-05-02_15-26-07_002aee|04,2016-05-02,ETHOSCOPE_002,4,M,0,4,OK,15-26-07
87,2016-05-02_15-27-40_019aee|02,2016-05-02,ETHOSCOPE_019,2,F,0,4,OK,15-27-40
88,2016-05-02_15-15-08_049afd|11,2016-05-02,ETHOSCOPE_049,11,F,0,4,OK,15-15-08
89,2016-05-02_15-15-08_049afd|14,2016-05-02,ETHOSCOPE_049,14,F,0,4,OK,15-15-08
90,2016-05-02_15-15-08_049afd|17,2016-05-02,ETHOSCOPE_049,17,F,0,4,OK,15-15-08
91,2016-05-09_18-52-04_007aee|04,2016-05-09,ETHOSCOPE_007,4,F,0,4,OK,18-52-04
92,2016-05-09_18-59-55_044afd|02,2016-05-09,ETHOSCOPE_044,2,F,0,4,OK,18-59-55
93,2016-05-09_18-59-55_044afd|04,2016-05-09,ETHOSCOPE_044,4,M,0,4,OK,18-59-55
94,2016-05-09_18-59-26_020aee|02,2016-05-09,ETHOSCOPE_020,2,F,0,4,OK,18-59-26
95,2016-05-09_18-59-26_020aee|04,2016-05-09,ETHOSCOPE_020,4,M,0,4,OK,18-59-26
96,2016-05-09_18-58-28_001aee|15,2016-05-09,ETHOSCOPE_001,15,M,0,4,OK,18-58-28
97,2016-05-09_18-58-28_001aee|19,2016-05-09,ETHOSCOPE_001,19,F,0,4,OK,18-58-28
98,2016-05-18_18-38-27_004aee|02,2016-05-18,ETHOSCOPE_004,2,M,0,2,OK,18-38-27
99,2016-05-18_18-38-48_046afd|02,2016-05-18,ETHOSCOPE_046,2,M,0,2,OK,18-38-48
100,2016-05-18_18-38-48_047afd|02,2016-05-18,ETHOSCOPE_047,2,M,0,2,OK,18-38-48
101,2016-05-23_19-25-06_004aee|02,2016-05-23,ETHOSCOPE_004,2,M,0,4,OK,19-25-06
102,2016-05-23_19-25-34_020aee|04,2016-05-23,ETHOSCOPE_020,4,F,0,4,OK,19-25-34
103,2016-05-23_19-26-34_041afd|02,2016-05-23,ETHOSCOPE_041,2,M,0,4,OK,19-26-34
104,2016-05-23_19-26-34_041afd|04,2016-05-23,ETHOSCOPE_041,4,F,0,4,OK,19-26-34
105,2016-05-23_19-07-13_042afd|02,2016-05-23,ETHOSCOPE_042,2,M,0,4,OK,19-07-13
106,2016-05-23_19-32-49_046afd|02,2016-05-23,ETHOSCOPE_046,2,M,0,4,OK,19-32-49
107,2016-05-23_19-32-49_046afd|04,2016-05-23,ETHOSCOPE_046,4,M,0,4,OK,19-32-49
108,2016-08-09_11-05-05_030c6b|08,2016-08-09,ETHOSCOPE_030,8,M,0,4,OK,11-05-05
109,2016-08-09_11-05-05_030c6b|10,2016-08-09,ETHOSCOPE_030,10,M,0,4,OK,11-05-05
110,2016-09-27_11-13-07_013d6b|10,2016-09-27,ETHOSCOPE_013,10,M,0,4,OK,11-13-07
111,2016-09-27_11-13-07_013d6b|11,2016-09-27,ETHOSCOPE_013,11,M,0,4,OK,11-13-07
112,2016-09-27_11-11-52_011d6b|10,2016-09-27,ETHOSCOPE_011,10,M,0,4,OK,11-11-52
113,2016-09-27_11-11-52_011d6b|11,2016-09-27,ETHOSCOPE_011,11,M,0,4,OK,11-11-52
114,2016-09-27_11-22-19_007d6b|08,2016-09-27,ETHOSCOPE_007,8,F,0,4,OK,11-22-19
115,2016-09-27_11-22-19_007d6b|15,2016-09-27,ETHOSCOPE_007,15,M,0,4,OK,11-22-19
116,2016-09-27_11-22-19_007d6b|17,2016-09-27,ETHOSCOPE_007,17,F,0,4,OK,11-22-19
117,2016-09-27_11-22-19_007d6b|19,2016-09-27,ETHOSCOPE_007,19,F,0,4,OK,11-22-19
118,2016-09-27_11-21-17_008d6b|13,2016-09-27,ETHOSCOPE_008,13,M,0,4,OK,11-21-17
119,2016-09-27_11-21-17_008d6b|15,2016-09-27,ETHOSCOPE_008,15,M,0,4,OK,11-21-17
120,2016-09-27_11-21-17_008d6b|19,2016-09-27,ETHOSCOPE_008,19,M,0,4,OK,11-21-17
121,2016-09-27_11-30-35_009d6b|15,2016-09-27,ETHOSCOPE_009,15,F,0,4,OK,11-30-35
122,2016-09-27_11-30-35_009d6b|19,2016-09-27,ETHOSCOPE_009,19,F,0,4,OK,11-30-35
123,2016-09-27_11-13-54_034c6b|08,2016-09-27,ETHOSCOPE_034,8,F,0,4,OK,11-13-54
124,2016-09-27_11-13-54_034c6b|17,2016-09-27,ETHOSCOPE_034,17,M,0,4,OK,11-13-54
125,2016-09-27_10-55-43_041c6b|08,2016-09-27,ETHOSCOPE_041,8,F,0,4,OK,10-55-43
126,2016-09-27_10-55-43_041c6b|15,2016-09-27,ETHOSCOPE_041,15,F,0,4,OK,10-55-43
127,2016-09-27_10-55-43_041c6b|17,2016-09-27,ETHOSCOPE_041,17,F,0,4,OK,10-55-43
128,2016-09-27_10-55-13_052c6b|08,2016-09-27,ETHOSCOPE_052,8,M,0,4,OK,10-55-13
129,2016-09-27_10-55-13_052c6b|13,2016-09-27,ETHOSCOPE_052,13,F,0,4,OK,10-55-13
130,2016-09-27_10-55-13_052c6b|15,2016-09-27,ETHOSCOPE_052,15,M,0,4,OK,10-55-13
131,2016-09-27_10-55-13_052c6b|17,2016-09-27,ETHOSCOPE_052,17,M,0,4,OK,10-55-13
132,2016-09-27_10-55-13_052c6b|19,2016-09-27,ETHOSCOPE_052,19,M,0,4,OK,10-55-13
133,2016-09-27_10-56-35_053c6b|10,2016-09-27,ETHOSCOPE_053,10,M,0,4,OK,10-56-35
134,2016-09-27_10-56-35_053c6b|15,2016-09-27,ETHOSCOPE_053,15,M,0,4,OK,10-56-35
